interview__key	interview__id	Roster_AvantApres_2__id	Rsrc_PRV	Rsrc_RL	Roster_2_incomplet
33-92-23-96	373c6611cc4247efafba91235f61dd85	1	0	280000	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	2	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	3	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	4	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	5	13100000	13100000	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	6	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	7	12500	12500	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	8	0	100000	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	9	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	10	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	11	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	1	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	3	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	4	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	5	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	6	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	7	2200000	1512000	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	8	480000	1200	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	9	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	10	19000000	13518000	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	11	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	1	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	2	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	3	14000000	12000000	0
98-38-02-42	955c981ebf274001a1518ba96332990b	4	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	5	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	6	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	7	400000	400000	0
98-38-02-42	955c981ebf274001a1518ba96332990b	8	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	9	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	10	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	11	31000000	20000000	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	1	15233931	1504600	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2	42013708	32919542	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	3	24555443	24555443	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	4	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	5	1200000	1200000	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	6	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	7	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	8	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	9	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	10	2129557	790000	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	11	18934680	7015500	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	1	0	0	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2	10300000	4800000	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	3	0	0	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	4	2028640	2028640	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	5	0	0	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	6	0	0	0
