assignment__id	date	time	action	originator	role	responsible__name	responsible__role	old__value	new__value	comment
75	2024-10-25	06:37:51	1	QG_ESS2024	3	Enq_ESS2024	1			
75	2024-10-25	06:37:51	8	QG_ESS2024	3	Enq_ESS2024	1		1	
75	2024-10-25	06:37:51	9	QG_ESS2024	3	Enq_ESS2024	1		1	
75	2024-10-25	06:37:51	6	QG_ESS2024	3	Enq_ESS2024	1		0	
139	2024-10-25	06:37:56	1	QG_ESS2024	3	Enq_ESS2024	1			
139	2024-10-25	06:37:56	8	QG_ESS2024	3	Enq_ESS2024	1		1	
139	2024-10-25	06:37:56	9	QG_ESS2024	3	Enq_ESS2024	1		1	
139	2024-10-25	06:37:56	6	QG_ESS2024	3	Enq_ESS2024	1		0	
41	2024-10-25	06:37:51	1	QG_ESS2024	3	Enq_ESS2024	1			
41	2024-10-25	06:37:51	8	QG_ESS2024	3	Enq_ESS2024	1		1	
41	2024-10-25	06:37:51	9	QG_ESS2024	3	Enq_ESS2024	1		1	
41	2024-10-25	06:37:51	6	QG_ESS2024	3	Enq_ESS2024	1		0	
247	2024-10-25	06:37:57	1	QG_ESS2024	3	Enq_ESS2024	1			
247	2024-10-25	06:37:57	8	QG_ESS2024	3	Enq_ESS2024	1		1	
247	2024-10-25	06:37:57	9	QG_ESS2024	3	Enq_ESS2024	1		1	
247	2024-10-25	06:37:57	6	QG_ESS2024	3	Enq_ESS2024	1		0	
7	2024-10-25	06:37:50	1	QG_ESS2024	3	Enq_ESS2024	1			
7	2024-10-25	06:37:50	8	QG_ESS2024	3	Enq_ESS2024	1		1	
7	2024-10-25	06:37:50	9	QG_ESS2024	3	Enq_ESS2024	1		1	
7	2024-10-25	06:37:50	6	QG_ESS2024	3	Enq_ESS2024	1		0	
95	2024-10-25	06:37:51	1	QG_ESS2024	3	Enq_ESS2024	1			
95	2024-10-25	06:37:51	8	QG_ESS2024	3	Enq_ESS2024	1		1	
95	2024-10-25	06:37:51	9	QG_ESS2024	3	Enq_ESS2024	1		1	
95	2024-10-25	06:37:51	6	QG_ESS2024	3	Enq_ESS2024	1		0	
174	2024-10-25	06:37:56	1	QG_ESS2024	3	Enq_ESS2024	1			
174	2024-10-25	06:37:56	8	QG_ESS2024	3	Enq_ESS2024	1		1	
174	2024-10-25	06:37:56	9	QG_ESS2024	3	Enq_ESS2024	1		1	
174	2024-10-25	06:37:56	6	QG_ESS2024	3	Enq_ESS2024	1		0	
114	2024-10-25	06:37:51	1	QG_ESS2024	3	Enq_ESS2024	1			
114	2024-10-25	06:37:51	8	QG_ESS2024	3	Enq_ESS2024	1		1	
114	2024-10-25	06:37:51	9	QG_ESS2024	3	Enq_ESS2024	1		1	
114	2024-10-25	06:37:51	6	QG_ESS2024	3	Enq_ESS2024	1		0	
123	2024-10-25	06:37:56	1	QG_ESS2024	3	Enq_ESS2024	1			
123	2024-10-25	06:37:56	8	QG_ESS2024	3	Enq_ESS2024	1		1	
123	2024-10-25	06:37:56	9	QG_ESS2024	3	Enq_ESS2024	1		1	
123	2024-10-25	06:37:56	6	QG_ESS2024	3	Enq_ESS2024	1		0	
