interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
33-92-23-96	373c6611cc4247efafba91235f61dd85	2024-10-27	22:43:11	12	Enq_ESS2024	1	Enq_ESS2024	1
33-92-23-96	373c6611cc4247efafba91235f61dd85	2024-10-27	22:43:11	0	Enq_ESS2024	1	Sup_ESS2024	2
33-92-23-96	373c6611cc4247efafba91235f61dd85	2024-10-27	22:43:11	19	Enq_ESS2024	1	Enq_ESS2024	1
33-92-23-96	373c6611cc4247efafba91235f61dd85	2024-10-27	22:43:11	1	Enq_ESS2024	1	Enq_ESS2024	1
33-92-23-96	373c6611cc4247efafba91235f61dd85	2024-10-27	22:43:11	2	Enq_ESS2024	1	Enq_ESS2024	1
33-92-23-96	373c6611cc4247efafba91235f61dd85	2024-10-28	03:54:22	3	Enq_ESS2024	1	Sup_ESS2024	2
33-92-23-96	373c6611cc4247efafba91235f61dd85	2024-10-29	05:52:12	6	QG_ESS2024	3		
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2024-10-27	22:04:45	12	Enq_ESS2024	1	Enq_ESS2024	1
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2024-10-27	22:04:45	0	Enq_ESS2024	1	Sup_ESS2024	2
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2024-10-27	22:04:45	19	Enq_ESS2024	1	Enq_ESS2024	1
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2024-10-27	22:04:45	1	Enq_ESS2024	1	Enq_ESS2024	1
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2024-10-27	22:04:45	2	Enq_ESS2024	1	Enq_ESS2024	1
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2024-10-27	22:57:41	3	Enq_ESS2024	1	Sup_ESS2024	2
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2024-10-29	05:41:59	6	QG_ESS2024	3		
98-38-02-42	955c981ebf274001a1518ba96332990b	2024-10-27	22:19:39	12	Enq_ESS2024	1	Enq_ESS2024	1
98-38-02-42	955c981ebf274001a1518ba96332990b	2024-10-27	22:19:39	0	Enq_ESS2024	1	Sup_ESS2024	2
98-38-02-42	955c981ebf274001a1518ba96332990b	2024-10-27	22:19:39	19	Enq_ESS2024	1	Enq_ESS2024	1
98-38-02-42	955c981ebf274001a1518ba96332990b	2024-10-27	22:19:39	1	Enq_ESS2024	1	Enq_ESS2024	1
98-38-02-42	955c981ebf274001a1518ba96332990b	2024-10-27	22:19:39	2	Enq_ESS2024	1	Enq_ESS2024	1
98-38-02-42	955c981ebf274001a1518ba96332990b	2024-10-28	00:20:15	3	Enq_ESS2024	1	Sup_ESS2024	2
98-38-02-42	955c981ebf274001a1518ba96332990b	2024-10-29	05:47:57	6	QG_ESS2024	3		
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2024-10-27	21:39:59	12	Enq_ESS2024	1	Enq_ESS2024	1
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2024-10-27	21:39:59	0	Enq_ESS2024	1	Sup_ESS2024	2
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2024-10-27	21:39:59	19	Enq_ESS2024	1	Enq_ESS2024	1
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2024-10-27	21:39:59	1	Enq_ESS2024	1	Enq_ESS2024	1
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2024-10-27	21:39:59	2	Enq_ESS2024	1	Enq_ESS2024	1
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2024-10-28	04:34:50	3	Enq_ESS2024	1	Sup_ESS2024	2
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2024-10-29	05:58:17	6	QG_ESS2024	3		
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2024-10-28	00:11:57	12	Enq_ESS2024	1	Enq_ESS2024	1
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2024-10-28	00:11:57	0	Enq_ESS2024	1	Sup_ESS2024	2
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2024-10-28	00:11:57	19	Enq_ESS2024	1	Enq_ESS2024	1
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2024-10-28	00:11:57	1	Enq_ESS2024	1	Enq_ESS2024	1
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2024-10-28	00:11:57	2	Enq_ESS2024	1	Enq_ESS2024	1
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2024-10-28	01:48:22	3	Enq_ESS2024	1	Sup_ESS2024	2
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2024-10-29	05:50:23	6	QG_ESS2024	3		
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2024-10-27	22:23:29	12	Enq_ESS2024	1	Enq_ESS2024	1
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2024-10-27	22:23:29	0	Enq_ESS2024	1	Sup_ESS2024	2
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2024-10-27	22:23:29	19	Enq_ESS2024	1	Enq_ESS2024	1
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2024-10-27	22:23:29	1	Enq_ESS2024	1	Enq_ESS2024	1
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2024-10-27	22:23:29	2	Enq_ESS2024	1	Enq_ESS2024	1
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2024-10-28	01:03:38	3	Enq_ESS2024	1	Sup_ESS2024	2
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2024-10-29	05:48:39	6	QG_ESS2024	3		
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2024-10-28	02:32:16	12	Enq_ESS2024	1	Enq_ESS2024	1
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2024-10-28	02:32:16	0	Enq_ESS2024	1	Sup_ESS2024	2
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2024-10-28	02:32:16	19	Enq_ESS2024	1	Enq_ESS2024	1
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2024-10-28	02:32:16	1	Enq_ESS2024	1	Enq_ESS2024	1
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2024-10-28	02:32:16	2	Enq_ESS2024	1	Enq_ESS2024	1
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2024-10-28	04:22:44	3	Enq_ESS2024	1	Sup_ESS2024	2
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2024-10-29	05:54:34	6	QG_ESS2024	3		
91-09-97-49	75a04315aedb4398a6566696ce19423c	2024-10-28	03:50:15	12	Enq_ESS2024	1	Enq_ESS2024	1
91-09-97-49	75a04315aedb4398a6566696ce19423c	2024-10-28	03:50:15	0	Enq_ESS2024	1	Sup_ESS2024	2
91-09-97-49	75a04315aedb4398a6566696ce19423c	2024-10-28	03:50:15	19	Enq_ESS2024	1	Enq_ESS2024	1
91-09-97-49	75a04315aedb4398a6566696ce19423c	2024-10-28	03:50:15	1	Enq_ESS2024	1	Enq_ESS2024	1
91-09-97-49	75a04315aedb4398a6566696ce19423c	2024-10-28	03:50:15	2	Enq_ESS2024	1	Enq_ESS2024	1
91-09-97-49	75a04315aedb4398a6566696ce19423c	2024-10-28	04:38:50	3	Enq_ESS2024	1	Sup_ESS2024	2
91-09-97-49	75a04315aedb4398a6566696ce19423c	2024-10-29	05:59:42	6	QG_ESS2024	3		
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2024-10-28	06:01:06	12	Enq_ESS2024	1	Enq_ESS2024	1
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2024-10-28	06:01:06	0	Enq_ESS2024	1	Sup_ESS2024	2
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2024-10-28	06:01:06	19	Enq_ESS2024	1	Enq_ESS2024	1
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2024-10-28	06:01:06	1	Enq_ESS2024	1	Enq_ESS2024	1
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2024-10-28	06:01:06	2	Enq_ESS2024	1	Enq_ESS2024	1
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2024-10-28	06:21:00	3	Enq_ESS2024	1	Sup_ESS2024	2
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2024-10-29	06:03:17	6	QG_ESS2024	3		
